22-03-2014 01:24:30 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?page=jucatori&id=2%20aNd%207=2 | Referer: no referer

22-03-2014 01:24:32 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?page=jucatori&id=2%27%20aNd%20%277%27=%277 | Referer: no referer

22-03-2014 01:24:33 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?id=2&page=bresle%27%20aNd%20%277%27=%277 | Referer: no referer

22-03-2014 01:24:33 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?page=jucatori&id=2%27%20aNd%20%277%27=%272 | Referer: no referer

22-03-2014 01:24:33 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 | URL: /?id=2&page=bresle%27%20aNd%20%277%27=%272 | Referer: no referer

22-03-2014 01:27:30 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%20and%201%3D1 | Referer: no referer

22-03-2014 01:27:30 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%20and%201%3E1 | Referer: no referer

22-03-2014 01:27:30 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%27%20and%20%27x%27%3D%27x | Referer: no referer

22-03-2014 01:27:31 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%27%20and%20%27x%27%3D%27y | Referer: no referer

22-03-2014 01:27:31 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%22%20and%20%22x%22%3D%22x | Referer: no referer

22-03-2014 01:27:31 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori%22%20and%20%22x%22%3D%22y | Referer: no referer

22-03-2014 01:27:31 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=9999%20and%201%3D1 | Referer: no referer

22-03-2014 01:27:44 | URL protect | IP: <redacted> ] | DNS: <redacted> | Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727) | URL: /index.php?page=jucatori&id=2%20and%201%3D1 | Referer: no referer

